researcher,doi
"Hussey, Ian",https://doi.org/10.1177/0956797610363555
"Hussey, Ian",https://doi.org/10.1177/0956797610363556
"Hussey, Ian",https://doi.org/10.1177/0956797610363557
"Hussey, Ian",https://doi.org/10.1177/0956797610363558
"Hussey, Ian",https://doi.org/10.1177/0956797610363559
"Hussey, Ian",https://doi.org/10.1177/0956797610363560
"Hussey, Ian",https://doi.org/10.1177/0956797610363561
"Schneeberger, Tim",https://doi.org/10.1177/0956797609357928
"Schneeberger, Tim",https://doi.org/10.1177/0956797609358096
"Schneeberger, Tim",https://doi.org/10.1177/0956797609360756
"Schneeberger, Tim",https://doi.org/10.1177/0956797610387437
"Schneeberger, Tim",https://doi.org/10.1177/0956797610387438
"Schneeberger, Tim",DOI: 10.1177/0956797610389187
"Schnyder, Sarah",https://doi.org/10.1177/0956797610362192
"Schnyder, Sarah",https://doi.org/10.1177/0956797609360758
"Schnyder, Sarah",https://doi.org/10.1177/0956797609359910
"Pillonel, Sara",https://doi.org/10.1177/0956797609359326
"Pillonel, Sara",https://doi.org/10.1177/0956797609359327
"Pillonel, Sara",https://doi.org/10.1177/0956797609359624
"Pillonel, Sara",https://doi.org/10.1177/0956797609359625
"Pillonel, Sara",https://doi.org/10.1177/0956797609357751
Dominic Linder,https://doi.org/10.1177/0956797609357718
Dominic Linder,https://doi.org/10.1177/0956797609360664
Dominic Linder,https://doi.org/10.1177/0956797609357858
"Naik, Chantal",DOI: 10.1177/0956797609359622
"Naik, Chantal",DOI: 10.1177/0956797609358586
"Naik, Chantal",DOI: 10.1177/0956797609357750
"Ruch, Naira",https://doi.org/10.1177/0956797609357175
"Ruch, Naira",https://doi.org/10.1177/0956797609357854
"Ruch, Naira",https://doi.org/10.1177/0956797609359623
Nastasja Vogel,doi:10.1177/0956797610362218.
Nastasja Vogel,DOI: 10.1177/0956797609359908
Nastasja Vogel,doi.org/10.1177/0956797610361706
Noemi Waber,https://doi.org/10.1177/0956797609359882
Noemi Waber,https://doi.org/10.1177/0956797610362061
Noemi Waber,https://doi.org/10.1177/0956797610362058
Lea Läuppi,DOI: 10.1177/0956797609359508
Lea Läuppi,DOI: 10.1177/0956797609354072
Lea Läuppi,DOI: 10.1177/0956797609356420
Simone Däppen,DOI: 10.1177/0956797609354084
Simone Däppen,https://doi.org/10.1177/0956797609354064
Simone Däppen,DOI:10.1177/0956797609355572
Emilie Zitzmann,https://doi.org/10.1177/0956797609360754
Emilie Zitzmann,https://doi.org/10.1177/0956797610362671
Emilie Zitzmann,https://doi.org/10.1177/0956797610362670
Laura Hirt,https://doi.org/10.1177/0956797609354074
Laura Hirt,https://doi.org/10.1177/0956797609354832
Laura Hirt,https://doi.org/10.1177/0956797609354059
Szukics Andreas,https://doi.org/10.1177/0956797610361430
Szukics Andreas,https://doi.org/10.1177/0956797610362646
Szukics Andreas,https://doi.org/10.1177/0956797609359909
Alvarez Burgos Dana Lorena,https://doi.org/10.1177/0956797609354725
Alvarez Burgos Dana Lorena,https://doi.org/10.1177/0956797609356283
Alvarez Burgos Dana Lorena,https://doi.org/10.1177/0956797609356509
"Hauri, Pascal Oliver",https://doi.org/10.1177/0956797609356511
"Hauri, Pascal Oliver",https://doi.org/10.1177/0956797609356508
"Hauri, Pascal Oliver",https://doi.org/10.1177/0956797609356421
"Peter, Tanja Patricia",https://doi.org/10.1177/0956797609357707
"Peter, Tanja Patricia",https://doi.org/10.1177/0956797609359333
"Peter, Tanja Patricia",https://doi.org/10.1177/0956797609357733
"Peracchi, Selina",https://doi.org/10.1177/0956797609357327
"Peracchi, Selina",https://doi.org/10.1177/0956797609358570
"Peracchi, Selina",https://doi.org/10.1177/0956797609357708
"Manser,Tabea",https://doi.org/10.1177/0956797609357712
"Manser,Tabea",https://doi.org/10.1177/0956797609359509
"Manser, Tabea",https://doi.org/10.1177/0956797609357749
"Bartholomaeus, Helena",https://doi.org/10.1177/0956797609354735
"Bartholomaeus, Helena",https://doi.org/10.1177/0956797609355566
"Bartholomaeus, Helena",https://doi.org/10.1177/0956797609355567
"Bartholomaeus, Helena",https://doi.org/10.1177/0956797609355568
"Bartholomaeus, Helena",https://doi.org/10.1177/0956797609355569
"Bartholomaeus, Helena",https://doi.org/10.1177/0956797609355570
"Bartholomaeus, Helena",https://doi.org/10.1177/0956797609355571
"Herrenknecht, Mara Lili",https://doi.org/10.1177/0956797609355634
"Herrenknecht, Mara Lili",https://doi.org/10.1177/0956797609355635
"Herrenknecht, Mara Lili",https://doi.org/10.1177/0956797609355636
"Herrenknecht, Mara Lili",https://doi.org/10.1177/0956797609355637
"Herrenknecht, Mara Lili",https://doi.org/10.1177/0956797609355638
"Herrenknecht, Mara Lili",https://doi.org/10.1177/0956797609355639
"Herrenknecht, Mara Lili",https://doi.org/10.1177/0956797609355640
"Herrenknecht, Mara Lili",https://doi.org/10.1177/0956797609355641
"Herrenknecht, Mara Lili",https://doi.org/10.1177/0956797609355642
"Herrenknecht, Mara Lili",https://doi.org/10.1177/0956797609355633
"Herrenknecht, Mara Lili",https://doi.org/10.1177/0956797609354739
"Herrenknecht, Mara Lili",https://doi.org/10.1177/0956797609354740
"Wegmüller, Gian",https://doi.org/10.1177/0956797610362647
"Wegmüller, Gian",https://doi.org/10.1177/0956797610361340
"Wegmüller, Gian",https://doi.org/10.1177/0956797609359878
"Siegenthaler, Irina",https://doi.org/10.1177/0956797610361679
"Siegenthaler, Irina",https://doi.org/10.1177/0956797610362060
"Siegenthaler, Irina",https://doi.org/10.1177/0956797610361446
"Kojan, Noemi",https://doi.org/10.1177/0956797609356507
"Kojan, Noemi",https://doi.org/10.1177/0956797609354734
"Kojan, Noemi",https://doi.org/10.1177/0956797609355563
Leo Tschanz,https://doi.org/10.1177/0956797609360751
Leo Tschanz,https://doi.org/10.1177/0956797609360752
Leo Tschanz,https://doi.org/10.1177/0956797609360753
Leo Tschanz,https://doi.org/10.1177/0956797609359876
Leo Tschanz,https://doi.org/10.1177/0956797609359877
Leo Tschanz,https://doi.org/10.1177/0956797609359878
Leo Tschanz,https://doi.org/10.1177/0956797610361426
Leo Tschanz,https://doi.org/10.1177/0956797610361427
Leo Tschanz,https://doi.org/10.1177/0956797610361428
