"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"WQ8DM6XH","journalArticle","2010","Alario, F.-Xavier; Goslin, Jeremy; Michel, Violaine; Laganaro, Marina","The Functional Origin of the Foreign Accent: Evidence From the Syllable-Frequency Effect in Bilingual Speakers","Psychological Science","","","10.1177/0956797609354725","https://doi.org/10.1177/0956797609354725","Individuals who speak more than one language often do so with a foreign accent in their second language. Previous investigations have focused on the acoustic phonetic properties of speech, showing how language-learning history shapes the occurrence of accent. By contrast, little is known about the phonological and phonetic representations that allow the production of each language within one speaker. We investigated this issue via the syllable-frequency effect, thought to index the retrieval of syllable-size representations during speech production. We tested French-Spanish early and late bilinguals in a task in which the materials’ syllabic frequency in both languages was manipulated. The frequency of syllables in the nonspoken language affected performance only with late bilinguals. This is interpreted as evidence that syllabic representations are shared across languages in late bilinguals but are separate in early bilinguals. One of the functional origins of foreign accent in late bilinguals may be the retrieval of syllabic representations shared across languages.","2010","2024-09-24 22:01:40","2024-09-24 22:15:08","","15–20","","1","21","","","","","","","","","","","","","","","","","_eprint: https://doi.org/10.1177/0956797609354725 PMID:20424016","","/Users/Ian-Hussey/Zotero/storage/H5USF69M/Alario et al. - 2010 - The Functional Origin of the Foreign Accent Evide.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VTRBEEL4","journalArticle","2010","Balcetis, Emily; Dunning, David","Wishful Seeing: More Desired Objects Are Seen as Closer","Psychological Science","","","10.1177/0956797609356283","https://doi.org/10.1177/0956797609356283","Although people assume that they see the surrounding environment as it truly is, we suggest that perception of the natural environment is dependent upon the internal goal states of perceivers. Five experiments demonstrated that perceivers tend to see desirable objects (i.e., those that can fulfill immediate goals—a water bottle to assuage their thirst, money they can win, a personality test providing favorable feedback) as physically closer to them than less desirable objects. Biased distance perception was revealed through verbal reports and through actions toward the object (e.g., underthrowing a beanbag at a desirable object). We suggest that seeing desirable objects as closer than less desirable objects serves the self-regulatory function of energizing the perceiver to approach objects that fulfill needs and goals.","2010","2024-09-24 22:01:40","2024-09-24 22:15:05","","147–152","","1","21","","","","","","","","","","","","","","","","","_eprint: https://doi.org/10.1177/0956797609356283 PMID:20424036","","/Users/Ian-Hussey/Zotero/storage/N26NH35D/Balcetis and Dunning - 2010 - Wishful Seeing More Desired Objects Are Seen as C.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CFQAR7MP","journalArticle","2010","Bowles, Hannah Riley; Gelfand, Michele","Status and the Evaluation of Workplace Deviance","Psychological Science","","","10.1177/0956797609356509","https://doi.org/10.1177/0956797609356509","Bias in the evaluation of workplace misbehavior is hotly debated in courts and corporations, but it has received little empirical attention. Classic sociological literature suggests that deviance by lower-status actors will be evaluated more harshly than deviance by higher-status actors. However, more recent psychological literature suggests that discrimination in the evaluation of misbehavior may be moderated by the relative status of the evaluator because status influences both rule observance and attitudes toward social hierarchy. In Study 1, the psychological experience of higher status decreased rule observance and increased preferences for social hierarchy, as we theorized. In three subsequent experiments, we tested the hypothesis that higher-status evaluators would be more discriminating in their evaluations of workplace misbehavior, evaluating fellow higher-status deviants more leniently than lower-status deviants. Results supported the hypothesized interactive effect of evaluator status and target status on the evaluation of workplace deviance, when both achieved status characteristics (Studies 2a and 2b) and ascribed status characteristics (i.e., race and gender in Study 3) were manipulated.","2010","2024-09-24 22:01:40","2024-09-24 22:15:02","","49–54","","1","21","","","","","","","","","","","","","","","","","_eprint: https://doi.org/10.1177/0956797609356509 PMID:20424022","","/Users/Ian-Hussey/Zotero/storage/4LUH997W/Bowles and Gelfand - 2010 - Status and the Evaluation of Workplace Deviance.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AQR4R3FQ","journalArticle","2010","Buehner, Marc J.; Humphreys, Gruffydd R.","Causal Contraction: Spatial Binding in the Perception of Collision Events","Psychological Science","","","10.1177/0956797609354735","https://doi.org/10.1177/0956797609354735","Causality is a higher-level mental construct derived from low-level percepts such as contiguity in space–time. We show that low-level spatial perception is distorted by the presence of a causal connection, such that two objects appear closer in space when they are causally linked than when they are not. This finding parallels recent demonstrations of temporal causal binding and suggests that causality is at the root of a general ambiguity-resolution process operating on the human perceptual system.","2010","2024-09-24 22:01:40","2024-09-24 22:14:59","","44–48","","1","21","","","","","","","","","","","","","","","","","_eprint: https://doi.org/10.1177/0956797609354735 PMID:20424021","","/Users/Ian-Hussey/Zotero/storage/5RFM77VA/Buehner and Humphreys - 2010 - Causal Contraction Spatial Binding in the Percept.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXLXBWA6","journalArticle","2010","Chen, Edith; Cohen, Sheldon; Miller, Gregory E.","How Low Socioeconomic Status Affects 2-Year Hormonal Trajectories in Children","Psychological Science","","","10.1177/0956797609355566","https://doi.org/10.1177/0956797609355566","Disparities by socioeconomic status (SES) are seen for numerous mental and physical illnesses, and yet understanding of the pathways to health disparities is limited. We tested whether SES alters longitudinal trajectories of cortisol output and what types of psychosocial factors could account for these links. Fifty healthy children collected saliva samples (four times per day for 2 days) at 6-month intervals for 2 years. At baseline, families were interviewed about SES and psychosocial factors. Lower-SES children displayed greater 2-year increases in daily cortisol output compared with higher-SES children. These effects were partially mediated by children’s perceptions of threat and by family chaos. These findings may help explain, and provide some first steps toward ameliorating, low-SES children’s vulnerability to health problems later in life by identifying the tendency to perceive threat in ambiguous situations and experiences of chaos as factors that link low SES to 2-year hormonal trajectories.","2010","2024-09-24 22:01:40","2024-09-24 22:14:56","","31–37","","1","21","","","","","","","","","","","","","","","","","_eprint: https://doi.org/10.1177/0956797609355566 PMID:20424019","","/Users/Ian-Hussey/Zotero/storage/CC8FM2PR/Chen et al. - 2010 - How Low Socioeconomic Status Affects 2-Year Hormon.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8ITXWEW","journalArticle","2010","Deater-Deckard, Kirby; Sewell, Michael D.; Petrill, Stephen A.; Thompson, Lee A.","Maternal Working Memory and Reactive Negativity in Parenting","Psychological Science","","","10.1177/0956797609354073","https://doi.org/10.1177/0956797609354073","We examined the role of working memory in observed reactive parenting in a sample of 216 mothers and their same-sex twin children. The mothers and their children were observed completing two frustrating cooperation tasks during a visit to the home. The mothers worked one-on-one with each child separately. Mothers completed the Vocabulary (verbal), Block Design (spatial), and Digit Span (working memory) subtests of the Wechsler Adult Intelligence Scale—Third Edition. We used a within-family quasi-experimental design to estimate the magnitude of the association between sibling differences in observed challenging behaviors (i.e., opposition and distractibility) and the difference in the mother’s negativity toward each child. As hypothesized, reactive negativity was evident only among mothers with poorer working memory. Verbal and spatial ability did not show this moderating effect. The effect was replicated in a post hoc secondary data analysis of a sample of adoptive mothers and sibling children. Results implicate working memory in the etiology of harsh reactive parenting.","2010","2024-09-24 22:01:40","2024-09-24 22:14:53","","75–79","","1","21","","","","","","","","","","","","","","","","","_eprint: https://doi.org/10.1177/0956797609354073 PMID:20424026","","/Users/Ian-Hussey/Zotero/storage/W69P22IU/Deater-Deckard et al. - 2010 - Maternal Working Memory and Reactive Negativity in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TUFTNZ25","journalArticle","2010","Ferrer, Emilio; Shaywitz, Bennett A.; Holahan, John M.; Marchione, Karen; Shaywitz, Sally E.","Uncoupling of Reading and IQ Over Time: Empirical Evidence for a Definition of Dyslexia","Psychological Science","","","10.1177/0956797609354084","https://doi.org/10.1177/0956797609354084","Developmental dyslexia is defined as an unexpected difficulty in reading in individuals who otherwise possess the intelligence and motivation considered necessary for fluent reading, and who also have had reasonable reading instruction. Identifying factors associated with normative and impaired reading development has implications for diagnosis, intervention, and prevention. We show that in typical readers, reading and IQ development are dynamically linked over time. Such mutual interrelationships are not perceptible in dyslexic readers, which suggests that reading and cognition develop more independently in these individuals. To our knowledge, these findings provide the first empirical demonstration of a coupling between cognition and reading in typical readers and a developmental uncoupling between cognition and reading in dyslexic readers. This uncoupling was the core concept of the initial description of dyslexia and remains the focus of the current definitional model of this learning disability.","2010","2024-09-24 22:01:40","2024-09-24 22:14:51","","93–101","","1","21","","","","","","","","","","","","","","","","","_eprint: https://doi.org/10.1177/0956797609354084 PMID:20424029","","/Users/Ian-Hussey/Zotero/storage/S357Y35R/Ferrer et al. - 2010 - Uncoupling of Reading and IQ Over Time Empirical .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VTBJLT3V","journalArticle","2010","Gardelle, Vincent de; Kouider, Sid","How Spatial Frequencies and Visual Awareness Interact During Face Processing","Psychological Science","","","10.1177/0956797609354064","https://doi.org/10.1177/0956797609354064","In vision, high and low spatial frequencies have been dissociated at the cognitive and neural levels. Usually, high spatial frequency (HSF) is associated with slow analysis along the ventral cortical stream, and low spatial frequency (LSF) is associated with fast and automatic processing. These findings suggest a specific relation between spatial-frequency processing and visual awareness. We investigated this issue using masked-face priming with hybrid prime images of variable visibility. We found subliminal priming for both LSF and HSF information, along with a strong interaction between spatial frequency and visibility: HSF-related priming increased with stimulus visibility, whereas LSF influences remained unchanged. We argue that the results limit the validity of the coarse-to-fine model of vision and of models equating ventral-stream activity with perceptual awareness. Interpreting our results in light of the diagnostic approach suggests a close relation between awareness and diagnosticity.","2010","2024-09-24 22:01:40","2024-09-24 22:14:48","","58–66","","1","21","","","","","","","","","","","","","","","","","_eprint: https://doi.org/10.1177/0956797609354064 PMID:20424024","","/Users/Ian-Hussey/Zotero/storage/4U63SD99/Gardelle and Kouider - 2010 - How Spatial Frequencies and Visual Awareness Inter.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q59W86L7","journalArticle","2010","Hardisty, David J.; Johnson, Eric J.; Weber, Elke U.","A Dirty Word or a Dirty World?: Attribute Framing, Political Affiliation, and Query Theory","Psychological Science","","","10.1177/0956797609355572","https://doi.org/10.1177/0956797609355572","We explored the effect of attribute framing on choice, labeling charges for environmental costs as either an earmarked tax or an offset. Eight hundred ninety-eight Americans chose between otherwise identical products or services, where one option included a surcharge for emitted carbon dioxide. The cost framing changed preferences for self-identified Republicans and Independents, but did not affect Democrats’ preferences. We explain this interaction by means of query theory and show that attribute framing can change the order in which internal queries supporting one or another option are posed. The effect of attribute labeling on query order is shown to depend on the representations of either taxes or offsets held by people with different political affiliations.","2010","2024-09-24 22:01:40","2024-09-24 22:14:45","","86–92","","1","21","","","","","","","","","","","","","","","","","_eprint: https://doi.org/10.1177/0956797609355572 PMID:20424028","","/Users/Ian-Hussey/Zotero/storage/267ZYQLP/Hardisty et al. - 2010 - A Dirty Word or a Dirty World Attribute Framing,.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RH5EIDF8","journalArticle","2010","Herrmann, Esther; Hernández-Lloreda, Maria Victoria; Call, Josep; Hare, Brian; Tomasello, Michael","The Structure of Individual Differences in the Cognitive Abilities of Children and Chimpanzees","Psychological Science","","","10.1177/0956797609356511","https://doi.org/10.1177/0956797609356511","Most studies of animal cognition focus on group performance and neglect individual differences and the correlational structure of cognitive abilities. Moreover, no previous studies have compared the correlational structure of cognitive abilities in nonhuman animals and humans. We compared the structure of individual differences of 106 chimpanzees and 105 two-year-old human children using 15 cognitive tasks that posed problems about the physical or social world. We found a similar factor of spatial cognition for the two species. But whereas the chimpanzees had only a single factor in addition to spatial cognition, the children had two distinct additional factors: one for physical cognition and one for social cognition. These findings, in combination with previous research, support the proposal that humans share many cognitive skills with nonhuman apes, especially for dealing with the physical world, but in addition have evolved some specialized skills of social cognition.","2010","2024-09-24 22:01:40","2024-09-24 22:14:42","","102–110","","1","21","","","","","","","","","","","","","","","","","_eprint: https://doi.org/10.1177/0956797609356511 PMID:20424030","","/Users/Ian-Hussey/Zotero/storage/9Y39MKQR/Herrmann et al. - 2010 - The Structure of Individual Differences in the Cog.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
