,Article.ID,Statement.ID,Stat.ID,Journal.ID,Reference,Link,Type.of.statistics,t,N1,N2,p,Page.number,Associated.statistics,Negative.statement,Category
1,1,1,1,1,"Ambron, E., & Foroni, F. (2015). The attraction of emotions: Irrelevant emotional information modulates motor actions. Psychonomic Bulletin & Review, 22(4), 11171123.",http://link.springer.com/article/10.3758/s13423-014-0779-y,One Sample T-Test,0.22,27,NA,0.41,1120,"The analysis confirmed that participants’ reaching paths veered significantly toward the distractor when this stimulus displayed emotional content [happy faces, t(26) =3.3, p < .005; angry faces, t(26) =2.1, p < .05], whereas the paths did not do so when the distractor displayed neutral expressions [noisy-neutral expression, t(26) =0.22, n.s.; neutral expression, t(26) =0.15, n.s.].","The results showed that reaching paths veered toward faces with emotional expressions, in particular happiness, but not toward neutral expressions. ; This reinforces the view of emotions as attention-capturing stimuli that are, however, also potential sources of distraction for motor actions.",Incorrect-frequentist  whole population
2,1,1,2,1,"Ambron, E., & Foroni, F. (2015). The attraction of emotions: Irrelevant emotional information modulates motor actions. Psychonomic Bulletin & Review, 22(4), 11171123.",http://link.springer.com/article/10.3758/s13423-014-0779-y,One Sample T-Test,0.15,27,NA,0.44,1120,"The analysis confirmed that participants’ reaching paths veered significantly toward the distractor when this stimulus displayed emotional content [happy faces, t(26) =3.3, p < .005; angry faces, t(26) =2.1, p < .05], whereas the paths did not do so when the distractor displayed neutral expressions [noisy-neutral expression, t(26) =0.22, n.s.; neutral expression, t(26) =0.15, n.s.].","The results showed that reaching paths veered toward faces with emotional expressions, in particular happiness, but not toward neutral expressions. ; This reinforces the view of emotions as attention-capturing stimuli that are, however, also potential sources of distraction for motor actions.",Incorrect-frequentist  whole population
3,2,1,1,1,"Anderson, B. A. (2015). Value-driven attentional priority is context specific. Psychonomic Bulletin & Review, 22(3), 750756.",http://link.springer.com/article/10.3758/s13423-014-0724-0,Planned Comparision T-Test,NA,NA,NA,0.643,754,"By contrast, a distractor had no influence on RTs when it appeared in the context within which it had never been rewarded, relative to distractor-absent trials, t(29) = 0.47, p = .643.","The results show that the same stimulus feature either does or does not capture attention, depending on whether it has been rewarded specifically in the context within which it appears.",Incorrect-frequentist  whole population
4,3,1,1,2,"Atir, S., Rosenzweig, E., & Dunning, D. (2015). When Knowledge Knows No Bounds: Self-Perceived Expertise Predicts Claims of Impossible Knowledge. Psychological Science, 26(8), 12951303. http://doi.org/10.1177/0956797615588195
",http://pss.sagepub.com/content/26/8/1295.abstract,T-Test for slopes,NA,NA,NA,NA,6,"Moreover, the effect of self-perceived knowledge did not interact with the warning condition, b = 0.005, t(260.89) = -0.52.","In Study 3, warning participants that some of the concepts they saw were fictitious did not reduce the relationship between self-perceived knowledge and overclaiming, which suggests that this relationship is not driven by impression management.",Incorrect-frequentist  whole population
11,10,1,1,1,"Ben-Shalom, A., & Ganel, T. (2014). Spatial resolution in visual memory. Psychonomic Bulletin & Review, 22(2), 500508. https://doi.org/10.3758/s13423-014-0707-1
",http://link.springer.com/article/10.3758/s13423-014-0707-1,ANOVA,NA,NA,NA,0.226,503,"However, unlike as in Experiment 1, JNDs did not differ between the short- and the long-delay conditions, and the main effect of delay period was not significant, F(1, 9) = 0.226.","When different objects were referred to, similar spatial resolution was found for the two delay periods, suggesting that initial processing stages are sensitive to object-based properties. Conversely, superior resolution was found for the short, as compared with the long, delay when features were referred to.",Incorrect-frequentist  whole population
16,14,1,1,1,"Camos, V., & Portrat, S. (2015). The impact of cognitive load on delayed recall. Psychonomic Bulletin & Review, 22(4), 10291034.",http://link.springer.com/article/10.3758/s13423-014-0772-5,Bayesian analysis,NA,NA,NA,NA,NA,NA,"Conversely, the addition of concurrent articulation reduced immediate but not delayed recall. This study shows that both working and episodic memory traces depend on the cognitive load of the concurrent task, whereas the use of rehearsal affects only working memory performance.",Incorrect-frequentist  whole population
23,21,1,1,2,"Darby, K. P., & Sloutsky, V. M. (2015). When Delays Improve Memory: Stabilizing Memory in Children May Require Time. Psychological Science, 26(12), 19371946. http://doi.org/10.1177/0956797615607350",http://pss.sagepub.com/content/26/12/1937.abstract,Paired Samples T-Test,0.516,29,NA,0.61,1943,"Paired samples t tests indicated that savings were significant for unique pairs, t(28) = 3.00, p = .006, d = 1.19, but not for overlapping pairs, p = .61.",Results of Experiment 2 suggest that the benefit of this delay is limited to situations in which children are given enough information to form complex memory structures.,Incorrect-frequentist  whole population
26,24,1,1,1,"Deffler, S. A., Brown, A. S., & Marsh, E. J. (2015). Judging the familiarity of strangers: does the context matter? Psychonomic Bulletin & Review, 22(4), 10411047.",http://link.springer.com/article/10.3758/s13423-014-0769-0,Post-hoc T-Test,NA,NA,NA,0.256,1045,"As compared to novel backgrounds, landmarks increased the perceived familiarity of novel faces only when the face was rated as fitting with the place (a “yes” answer), t(26) = 2.81, p = .009, <U+03B7>2 = .232, but not when the face and place were not integrated (a “no” answer), t(26) = 1.16, p = .256, <U+03B7>2 = .024.","This effect only disappeared when participants failed to integrate the face with the place, judging that the two did not fit together. ; Our findings suggest that familiarity is not judged in isolation; rather, people are unable to completely disentangle the familiarity of the individual components of a scene.",Incorrect-frequentist  whole population
28,26,1,1,2,"Dieguez, S., Wagner-Egger, P., & Gauvrit, N. (2015). Nothing Happens by Accident, or Does It? A Low Prior for Randomness Does Not Explain Belief in Conspiracy Theories. Psychological Science, 26(11), 17621770. http://doi.org/10.1177/0956797615598740
",http://pss.sagepub.com/content/26/11/1762.abstract,Correlation,NA,NA,NA,NA,4,"However, subjective randomness was not significantly correlated with any measures of belief in conspiracy theory.","In three studies, we investigated this hypothesis and failed to find the predicted association between low prior for randomness and conspiracist ideation, even when randomness was explicitly opposed to malevolent human intervention. Conspiracy believers’ and nonbelievers’ perceptions of randomness were not only indistinguishable from each other but also accurate compared with the normative view arising from the algorithmic information framework. Thus, the motto “nothing happens by accident,” taken at face value, does not explain belief in conspiracy theories.",Incorrect-frequentist  whole population
32,29,1,1,1,"Dunabeitia, J. A., & Costa, A. (2015). Lying in a native and foreign language. Psychonomic Bulletin & Review, 22(4), 11241129.",http://link.springer.com/article/10.3758/s13423-014-0781-4,ANOVA,NA,NA,NA,NA,1127,"Crucially, the interaction between these two factors was not significant [F < 1, p > 0.92, partial<U+03B7>2 < 0.01, 1-ß < 0.06], showing that the effect of deception was highly similar in the native and foreign language (2.68 % and 2.64 % increase, respectively).","Importantly, these two effects did not interact, suggesting that the processing cost associated with deception is similar in a native and foreign language.",Incorrect-frequentist  whole population
35,32,1,1,3,"Evans, A. M., Dillon, K. D., & Rand, D. G. (2015). Fast but not intuitive, slow but not reflective: Decision conflict drives reaction times in social dilemmas. Journal of Experimental Psychology: General, 144(5), 951966. doi:10.1037/xge0000107",http://psycnet.apa.org/journals/xge/144/5/951/,T-Test for slopes,NA,NA,NA,0.58,959,"Time pressure significantly increased cooperation (b =.035, SE =.0094, p =.001), but had no significant effect on decision extremity (b =.002, SE = .0054, p =.58).","Experimentally promoting reliance on intuition increases cooperation, but has no effects on decision extremity or feelings of conflictedness.",Incorrect-frequentist  whole population
36,32,1,2,3,"Evans, A. M., Dillon, K. D., & Rand, D. G. (2015). Fast but not intuitive, slow but not reflective: Decision conflict drives reaction times in social dilemmas. Journal of Experimental Psychology: General, 144(5), 951966. doi:10.1037/xge0000107",http://psycnet.apa.org/journals/xge/144/5/951/,Independent Samples T-Test,0.298,436,428,0.76,960,"Decisions in the two pro-intuition conditions were not significantly more extreme (M=.68, SD=.40) than decisions in the pro-reflection conditions (M=.67, SD=.38), t(862)=.298, p=.76, d= .02","Experimentally promoting reliance on intuition increases cooperation, but has no effects on decision extremity or feelings of conflictedness.",Incorrect-frequentist  whole population
37,32,1,3,3,"Evans, A. M., Dillon, K. D., & Rand, D. G. (2015). Fast but not intuitive, slow but not reflective: Decision conflict drives reaction times in social dilemmas. Journal of Experimental Psychology: General, 144(5), 951966. doi:10.1037/xge0000107",http://psycnet.apa.org/journals/xge/144/5/951/,Independent Samples T-Test,1.27,436,428,0.21,960,"Levels of conflict were similar in the two pro-intuition (M=4.79, SD=2.90) and two pro-reflection (M=4.54, SD=2.87) conditions, t(862)=1.27, p=.21, d=.08.","Experimentally promoting reliance on intuition increases cooperation, but has no effects on decision extremity or feelings of conflictedness.",Incorrect-frequentist  whole population
38,33,1,1,2,"Fan, S. P., Liberman, Z., Keysar, B., & Kinzler, K. D. (2015). The Exposure Advantage: Early Exposure to a Multilingual Environment Promotes Effective Communication. Psychological Science, 26(7), 10901097. http://doi.org/10.1177/0956797615574699
",pss.sagepub.com/content/26/7/1090.abstract,Independent Samples T-Test,0.072,24,24,0.94,4,"Children in the bilingual and exposure groups were significantly more likely than children in the monolingual group to move the target, t(46) = 2.81, p = .007, d = 0.83, and t(46) = 2.51, p = .016, d = 0.74, respectively, whereas the performance of the bilingual and exposure groups did not differ, t(46) = 0.072, p = .94, d = 0.02.","Children who were merely exposed to a second language performed as well as bilingual children, despite having lower executive-function scores. Thus, the communicative advantages demonstrated by the bilinguals may be social in origin, and not due to enhanced executive control.",Incorrect-frequentist  whole population
62,51,1,1,1,"Halvorson, K. M., & Hazeltine, E. (2015). Do small dual-task costs reflect ideomotor compatibility or the absence of crosstalk? Psychonomic Bulletin & Review, 22(5), 14031409. doi:10.3758/s13423-015-0813-8",http://link.springer.com/article/10.3758/s13423-015-0813-8,ANOVA,NA,NA,NA,NA,1407,"The intercept was not significant, F<1, indicating no significant dual-task costs across groups.","Nonetheless, reversed tasks were performed without costs even when paired with an unreversed task. This finding suggests that the separation of the central codes across tasks (e.g., Wickens, 1984) is more critical than the specific S-R relationships; dual-task costs can be avoided when the tasks engage distinct modality-based systems.",Incorrect-frequentist  whole population
67,54,1,1,3,"Hirst, W., Phelps, E. A., Meksin, R., Vaidya, C. J., Johnson, M. K., Mitchell, K. J., … Lustig, C. (2015). A ten-year follow-up of a study of memory for the attack of September 11, 2001: Flashbulb memories and memories for flashbulb events. Journal of Experimental Psychology: General, 144(3), 604.",http://psycnet.apa.org/journals/xge/144/3/604.pdf&productCode=pa&uid=2015-09755-001,Post-hoc T-Test/PC,NA,NA,NA,0.06,611,"In follow-up analyses, we found a significant difference between the total consistency scores for responses on Survey 2 and those reported on Survey 3, t(201) = 4.07, p<.001, d=0.33, confidence interval (CI) [.03, .09], but not between Survey 3 and Survey 4, t(201) = 1.92, p = .06, d = 0.16, Cl [-.07, .00].","There was rapid forgetting of both flashbulb and event memories within the first year, but the forgetting curves leveled off after that, not significantly changing even after a 10-year delay. /.../ The findings suggest that even traumatic memories and those implicated in a community’s collective identity may be inconsistent over time and these inconsistencies can persist without the corrective force of external influences.",Incorrect-frequentist  whole population
69,56,1,1,1,"Kaiser, D., Stein, T., & Peelen, M. V. (2015). Real-world spatial regularities affect visual working memory for objects. Psychonomic Bulletin & Review, 22(6), 17841790. doi:10.3758/s13423-015-0833-4",http://link.springer.com/article/10.3758/s13423-015-0833-4,Paired Samples T-Test,0.29,38,NA,0.77,1787,"For the inverted pairs, we observed no significant difference in sensitivity between the two pair configurations, t < 1.","This effect was specific to upright stimuli, indicating that it did not reflect low-level grouping, because low-level grouping would be expected to equally affect memory for upright and inverted displays. These results suggest that objects can be held in visual working memory more efficiently when they are positioned according to frequently experienced real-world regularities.",Incorrect-frequentist  whole population
